model,language,type,entropy,ent_value,ent_sd,MI,MI_sd
without_LLM_2,De,Stress-accent languages,Conditional Entropy,8.134244554575090,0.02310209284157040,0.7824936554513050,0.03351911299311950
without_LLM_2,En,Stress-accent languages,Conditional Entropy,7.69970499910996,0.026842016542397500,0.7669159149329010,0.02653799779263690
without_LLM_2,Fr,Stress-accent languages,Conditional Entropy,7.53923314908338,0.0537347488857459,0.7752165322254330,0.0489337191963735
without_LLM_2,It,Stress-accent languages,Conditional Entropy,7.619805404458090,0.03149796317693650,0.5627131620633140,0.026799618988768200
without_LLM_2,Ja,Pitch-accent languages,Conditional Entropy,7.507070749766200,0.02399567035133950,0.9087081537919280,0.015284547595504800
without_LLM_2,Sr,Pitch-accent languages,Conditional Entropy,7.660444799599300,0.0364208959607384,0.1559485659857580,0.02872969024270840
without_LLM_2,Sv,Pitch-accent languages,Conditional Entropy,8.02940771527516,0.023177734928912400,0.8608112762465070,0.022031486861799800
without_LLM_2,Th,Tonal-accent languages,Conditional Entropy,7.830162279112520,0.01889686547977120,1.174794145257300,0.015879999596832800
without_LLM_2,Vi,Tonal-accent languages,Conditional Entropy,8.387169874122740,0.0333570828179551,1.2601296218724400,0.02624379857849160
without_LLM_2,Zh-CN,Tonal-accent languages,Conditional Entropy,8.035873242441080,0.05472533329047960,1.3704954884393000,0.04506310720452330
without_LLM_2,Yue,Tonal-accent languages,Conditional Entropy,7.918108024143170,0.02853566489306030,0.7475999001234940,0.022181602399967700
without_LLM_2,Zh-by-Char,Tonal-accent languages,Conditional Entropy,7.961596030566740,0.011102402601489800,1.3028428337160000,0.008578923118333150
without_LLM_2,Yue-by-Char,Tonal-accent languages,Conditional Entropy,7.647488519525290,0.014441678622461800,1.0759405207280600,0.017520253091397300
without_LLM_2,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA
without_LLM_3,De,Stress-accent languages,Differential Entropy,8.750848190232660,0.024782232726674800,1.4688424779168400,0.029219775507270500
without_LLM_3,En,Stress-accent languages,Differential Entropy,8.29815173568003,0.020618192610647000,1.4366202716892100,0.03968913204876470
without_LLM_3,Fr,Stress-accent languages,Differential Entropy,8.021266457514190,0.027282586960812000,1.3421249335660900,0.05015321492839910
without_LLM_3,It,Stress-accent languages,Differential Entropy,8.032585452028860,0.030101834524888500,1.2436454173970500,0.04435079671580990
without_LLM_3,Ja,Pitch-accent languages,Differential Entropy,8.290115128091100,0.016727886242420200,1.563473182046720,0.015703916690669500
without_LLM_3,Sr,Pitch-accent languages,Differential Entropy,7.609811149774980,0.04877514770206480,0.7857830256673850,0.06597289413751230
without_LLM_3,Sv,Pitch-accent languages,Differential Entropy,8.741645822736560,0.021149724796513300,1.5756984473273200,0.0352309297677134
without_LLM_3,Th,Tonal-accent languages,Differential Entropy,8.847537335640060,0.016281098654067200,1.8846367775285800,0.02684602601117420
without_LLM_3,Vi,Tonal-accent languages,Differential Entropy,9.523027229669800,0.010637146963718600,2.028264780302750,0.04446104170772620
without_LLM_3,Zh-CN,Tonal-accent languages,Differential Entropy,9.255738018976490,0.023096236814569400,2.1183277371720100,0.06486528112524180
without_LLM_3,Yue,Tonal-accent languages,Differential Entropy,8.4659150680813,0.023440934029429500,1.3872034650423400,0.029419536574645700
without_LLM_3,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.15663676915496,0.010049709895736000,2.1322239856177000,0.01940031873672620
without_LLM_3,Yue-by-Char,Tonal-accent languages,Differential Entropy,8.572021506993010,0.015200845611778500,1.8404746923088900,0.029388349457489700
without_LLM_3,Kor,Other languages,Differential Entropy,NA,NA,NA,NA
without_LLM_3,De,Stress-accent languages,Conditional Entropy,7.282005712315810,0.038753696779909800,1.4688424779168400,0.029219775507270500
without_LLM_3,En,Stress-accent languages,Conditional Entropy,6.861531463990820,0.04547164920401250,1.4366202716892100,0.03968913204876470
without_LLM_3,Fr,Stress-accent languages,Conditional Entropy,6.6791415239481,0.05330478780068510,1.3421249335660900,0.05015321492839910
without_LLM_3,It,Stress-accent languages,Conditional Entropy,6.788940034631810,0.06269414167117740,1.2436454173970500,0.04435079671580990
without_LLM_3,Ja,Pitch-accent languages,Conditional Entropy,6.726641946044370,0.025924317778246000,1.563473182046720,0.015703916690669500
without_LLM_3,Sr,Pitch-accent languages,Conditional Entropy,6.82402812410759,0.07908221673237260,0.7857830256673850,0.06597289413751230
without_LLM_3,Sv,Pitch-accent languages,Conditional Entropy,7.1659473754092300,0.04234284963155130,1.5756984473273200,0.0352309297677134
without_LLM_3,Th,Tonal-accent languages,Conditional Entropy,6.962900558111480,0.026848797657622000,1.8846367775285800,0.02684602601117420
without_LLM_3,Vi,Tonal-accent languages,Conditional Entropy,7.49476244936705,0.04380500072260680,2.028264780302750,0.04446104170772620
without_LLM_3,Zh-CN,Tonal-accent languages,Conditional Entropy,7.137410281804470,0.06950293244845130,2.1183277371720100,0.06486528112524180
without_LLM_3,Yue,Tonal-accent languages,Conditional Entropy,7.078711603038960,0.04407700945106780,1.3872034650423400,0.029419536574645700
without_LLM_3,Zh-by-Char,Tonal-accent languages,Conditional Entropy,7.024412783537260,0.02294027955180350,2.1322239856177000,0.01940031873672620
without_LLM_3,Yue-by-Char,Tonal-accent languages,Conditional Entropy,6.73154681468412,0.03107819802387780,1.8404746923088900,0.029388349457489700
without_LLM_3,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA
fastText,De,Stress-accent languages,Differential Entropy,10.02,0.08,0.17,0.01
fastText,En,Stress-accent languages,Differential Entropy,9.58,0.12,0.17,0.02
fastText,Fr,Stress-accent languages,Differential Entropy,9.86,0.11,0.27,0.02
fastText,It,Stress-accent languages,Differential Entropy,9.74,0.19,0.31,0.02
fastText,Ja,Pitch-accent languages,Differential Entropy,9.06,0.09,0.33,0.02
fastText,Sr,Pitch-accent languages,Differential Entropy,7.72,0.17,3.44,0.08
fastText,Sv,Pitch-accent languages,Differential Entropy,9.90,0.09,0.17,0.02
fastText,Th,Tonal-accent languages,Differential Entropy,9.58,0.17,0.34,0.02
fastText,Vi,Tonal-accent languages,Differential Entropy,10.23,0.08,0.36,0.04
fastText,Zh-CN,Tonal-accent languages,Differential Entropy,10.36,0.14,1.58,0.10
fastText,Yue,Tonal-accent languages,Differential Entropy,8.92,0.12,1.38,0.10
fastText,Zh-by-Char,Tonal-accent languages,Differential Entropy,9.68,0.07,1.01,0.07
fastText,Yue-by-Char,Tonal-accent languages,Differential Entropy,9.05,0.10,0.59,0.04
fastText,Kor,Other languages,Differential Entropy,10.23,0.22,1.38,0.10
