model,language,type,entropy,ent_value,ent_sd,MI,MI_sd
mGPT,Kor,Other languages,Differential Entropy,10.23,0.22,NA,NA
mGPT,De,Stress-accent languages,Conditional Entropy,9.04,0.01,0.98,0.01
mGPT,En,Stress-accent languages,Conditional Entropy,7.98,0.07,1.6,0.07
mGPT,Fr,Stress-accent languages,Conditional Entropy,8.65,0.03,1.21,0.03
mGPT,It,Stress-accent languages,Conditional Entropy,8.84,0.03,0.9,0.03
mGPT,Ja,Pitch-accent languages,Conditional Entropy,7.94,0.04,1.12,0.04
mGPT,Sr,Pitch-accent languages,Conditional Entropy,NA,NA,NA,NA
mGPT,Sv,Pitch-accent languages,Conditional Entropy,9.30,0.03,0.6,0.03
mGPT,Th,Tonal-accent languages,Conditional Entropy,7.92,0.04,1.66,0.04
mGPT,Vi,Tonal-accent languages,Conditional Entropy,8.92,0.02,1.31,0.02
mGPT,Zh-CN,Tonal-accent languages,Conditional Entropy,9.39,0.04,0.97,0.04
mGPT,Yue,Tonal-accent languages,Conditional Entropy,7.69,0.03,1.23,0.03
mGPT,Zh-by-Char,Tonal-accent languages,Conditional Entropy,8.39,0.03,1.29,0.03
mGPT,Yue-by-Char,Tonal-accent languages,Conditional Entropy,7.88,0.03,1.17,0.03
mGPT,Kor,Other languages,Conditional Entropy,NA,NA,NA,NA
